pollster,has_sponsor,pollscore,transparency_score,sample_size,end_date,pct_support,state
Marquette Law School,0,-1.3,6.5,4838,2024-08-07,52,Kansas
YouGov,1,-1.2,9.5,4100,2024-10-04,48,National
Marquette Law School,1,-1.4,7,1269,2024-10-06,52,National
Marquette Law School,0,-1.2,7.5,1248,2024-07-22,53,Iowa
CES / YouGov,0,-1.4,8,3633,2024-09-12,49,National
CES / YouGov,1,-1.4,8.5,4126,2024-08-29,48,National
The Washington Post,1,-1.2,10,4309,2024-08-18,51,West Virginia
Siena/NYT,0,-1.3,8.5,4290,2024-10-05,48,Indiana
CES / YouGov,1,-1.3,8.5,4107,2024-10-24,48,National
McCourtney Institute/YouGov,0,-1.2,7.5,1719,2024-07-21,46,Rhode Island
CES / YouGov,1,-1.1,7,1712,2024-09-18,49,New Jersey
YouGov,0,-1.4,7,871,2024-10-19,49,Arizona
Marquette Law School,0,-1.3,8.5,2115,2024-07-29,52,National
CES / YouGov,0,-1.4,10,2920,2024-08-22,49,National
The Washington Post,1,-1.4,9.5,1714,2024-08-31,49,Hawaii
CES / YouGov,1,-1.1,8.5,4114,2024-08-19,51,National
McCourtney Institute/YouGov,0,-1.2,8.5,1856,2024-08-10,49,National
YouGov,0,-1.1,9.5,2776,2024-08-19,51,New Jersey
YouGov,0,-1.4,8,1261,2024-10-11,47,Utah
YouGov,1,-1.2,8,4735,2024-10-07,52,Massachusetts
McCourtney Institute/YouGov,0,-1.2,9,1977,2024-09-23,49,National
Marquette Law School,1,-1.1,9.5,3952,2024-10-04,53,Arkansas
McCourtney Institute/YouGov,0,-1.4,7.5,522,2024-08-05,50,National
The Washington Post,1,-1.4,8.5,1663,2024-09-25,50,National
The Washington Post,1,-1.2,10,2073,2024-09-15,52,Delaware
McCourtney Institute/YouGov,0,-1.2,7.5,1037,2024-07-29,49,California
Siena/NYT,0,-1.3,10,3577,2024-09-22,51,Texas
The Washington Post,1,-1.3,8.5,4541,2024-09-16,49,California
YouGov,0,-1.1,8.5,3817,2024-09-14,50,Kentucky
McCourtney Institute/YouGov,1,-1.1,6.5,4301,2024-10-03,50,Pennsylvania
YouGov,0,-1.2,8.5,789,2024-10-01,52,National
Marquette Law School,1,-1.5,9.5,3000,2024-08-17,50,National
Marquette Law School,0,-1.3,9,3500,2024-08-12,52,National
YouGov,0,-1.3,8,4947,2024-10-07,49,Michigan
YouGov,1,-1.4,10,3748,2024-10-10,47,National
CES / YouGov,0,-1.2,7,1139,2024-08-12,51,California
McCourtney Institute/YouGov,1,-1.4,7,3421,2024-10-14,50,Colorado
Siena/NYT,1,-1.2,6.5,859,2024-10-08,49,Oregon
CES / YouGov,0,-1.2,7,2710,2024-09-24,50,Kansas
YouGov,1,-1.5,9,3978,2024-09-25,52,National
McCourtney Institute/YouGov,0,-1.4,9,2139,2024-08-21,48,Nevada
YouGov,0,-1.3,7.5,2384,2024-10-24,49,National
McCourtney Institute/YouGov,0,-1.2,6.5,1613,2024-08-21,51,National
CES / YouGov,0,-1.4,8.5,3480,2024-08-04,48,Missouri
The Washington Post,0,-1.2,10,3864,2024-08-26,47,Oklahoma
CES / YouGov,1,-1.4,9.5,1051,2024-07-21,51,Louisiana
YouGov,0,-1.2,9.5,4473,2024-08-10,49,Mississippi
Marquette Law School,1,-1.2,8,504,2024-08-17,52,National
The Washington Post,1,-1.4,10,2972,2024-10-16,48,National
YouGov,0,-1.4,7,4162,2024-09-27,53,Indiana
The Washington Post,1,-1.2,6.5,1251,2024-08-18,48,Kansas
Marquette Law School,1,-1.3,9.5,736,2024-09-01,45,Vermont
McCourtney Institute/YouGov,1,-1.2,9.5,2344,2024-09-28,50,West Virginia
YouGov,0,-1.2,8.5,2794,2024-10-02,45,National
Siena/NYT,0,-1.5,6.5,4122,2024-07-21,48,National
Marquette Law School,1,-1.3,9.5,1076,2024-08-15,48,Oregon
The Washington Post,0,-1.2,9,3348,2024-10-11,48,Wisconsin
McCourtney Institute/YouGov,1,-1.3,7,987,2024-10-06,49,National
Siena/NYT,1,-1.2,7.5,524,2024-10-13,49,National
The Washington Post,0,-1.1,7.5,796,2024-10-19,50,National
CES / YouGov,1,-1.2,9.5,3995,2024-07-22,52,National
YouGov,0,-1.1,9.5,3861,2024-09-14,51,New Jersey
Siena/NYT,1,-1.2,9,2184,2024-10-23,52,National
Marquette Law School,1,-1.4,6.5,4221,2024-10-22,52,Pennsylvania
Siena/NYT,1,-1.2,10,3604,2024-08-06,50,Kentucky
YouGov,0,-1.1,9.5,701,2024-09-07,52,Maine
YouGov,1,-1.1,9.5,2452,2024-08-21,50,National
YouGov,1,-1.4,7.5,2523,2024-09-26,51,National
The Washington Post,1,-1.4,7,2049,2024-09-30,50,National
The Washington Post,0,-1.2,8.5,553,2024-09-10,53,National
The Washington Post,1,-1.2,6.5,2532,2024-08-05,47,Florida
McCourtney Institute/YouGov,1,-1.3,9,4042,2024-09-25,53,Arizona
The Washington Post,0,-1.4,7.5,2576,2024-08-25,54,National
McCourtney Institute/YouGov,0,-1.5,9,1747,2024-10-08,45,Oregon
Siena/NYT,1,-1.5,10,2422,2024-07-23,50,National
The Washington Post,0,-1.3,10,3820,2024-10-01,49,National
McCourtney Institute/YouGov,1,-1.2,7.5,1288,2024-08-13,51,National
Siena/NYT,0,-1.3,9.5,3930,2024-08-20,49,Idaho
Marquette Law School,0,-1.2,9,4096,2024-09-30,50,Massachusetts
The Washington Post,1,-1.2,8,2647,2024-08-06,48,Oregon
Siena/NYT,1,-1.3,6.5,3420,2024-10-26,46,Vermont
YouGov,1,-1.5,8.5,2920,2024-09-23,55,Minnesota
The Washington Post,0,-1.3,9,1081,2024-10-22,51,Illinois
McCourtney Institute/YouGov,1,-1.4,9,4759,2024-10-16,51,Delaware
Siena/NYT,0,-1.1,7.5,932,2024-09-25,47,Mississippi
Marquette Law School,1,-1.2,9,4645,2024-10-11,50,National
Siena/NYT,0,-1.2,7.5,1388,2024-10-15,48,National
Siena/NYT,0,-1.5,9,964,2024-10-04,51,Wisconsin
Siena/NYT,0,-1.4,7,1881,2024-08-09,54,National
The Washington Post,1,-1.4,9,1431,2024-08-18,47,Illinois
Marquette Law School,1,-1.3,8.5,1296,2024-08-01,57,New Mexico
Marquette Law School,0,-1.1,7.5,4879,2024-08-06,49,National
Siena/NYT,1,-1.4,6.5,4626,2024-08-29,52,New Mexico
Siena/NYT,1,-1.4,6.5,1358,2024-08-07,48,New York
McCourtney Institute/YouGov,0,-1.1,9.5,4126,2024-08-26,55,National
The Washington Post,0,-1.4,10,1220,2024-09-25,54,National
Marquette Law School,0,-1.2,7.5,4872,2024-08-10,49,Montana
Siena/NYT,1,-1.2,8,3686,2024-08-06,54,Wisconsin
YouGov,1,-1.5,9,3902,2024-08-09,52,National
YouGov,1,-1.5,7.5,4025,2024-09-02,48,National
CES / YouGov,1,-1.2,7,1815,2024-08-28,48,Wisconsin
Marquette Law School,0,-1.2,10,2538,2024-08-30,51,Rhode Island
Marquette Law School,1,-1.4,9,720,2024-09-03,52,National
Marquette Law School,0,-1.1,8.5,2936,2024-08-10,50,National
Marquette Law School,1,-1.3,6.5,2239,2024-09-19,51,Ohio
Marquette Law School,1,-1.4,8.5,1506,2024-10-02,48,National
The Washington Post,0,-1.4,8,4632,2024-09-14,52,National
McCourtney Institute/YouGov,1,-1.1,7.5,1423,2024-08-09,49,New York
The Washington Post,0,-1.2,7.5,3949,2024-09-07,50,National
Marquette Law School,0,-1.5,8,4351,2024-10-07,49,National
Marquette Law School,0,-1.2,8.5,2118,2024-08-25,47,Virginia
The Washington Post,1,-1.2,9,2238,2024-08-01,51,National
CES / YouGov,0,-1.3,9,662,2024-07-28,50,Maryland
YouGov,0,-1.2,6.5,2678,2024-07-25,49,Missouri
Marquette Law School,0,-1.5,7,2351,2024-08-11,47,South Dakota
McCourtney Institute/YouGov,1,-1.1,7.5,3172,2024-07-23,49,Tennessee
CES / YouGov,0,-1.3,9,3544,2024-09-05,51,National
CES / YouGov,0,-1.2,9.5,1734,2024-10-16,53,Ohio
McCourtney Institute/YouGov,1,-1.4,8.5,3498,2024-07-30,51,National
McCourtney Institute/YouGov,1,-1.3,9.5,2009,2024-09-08,50,Maryland
McCourtney Institute/YouGov,1,-1.5,7,3021,2024-09-06,47,National
The Washington Post,0,-1.2,9,2688,2024-09-11,48,Idaho
YouGov,0,-1.1,8,848,2024-08-26,52,National
Siena/NYT,0,-1.2,7.5,3532,2024-10-07,51,National
CES / YouGov,1,-1.1,10,1650,2024-07-26,50,Virginia
CES / YouGov,0,-1.1,9.5,653,2024-08-29,48,Delaware
Marquette Law School,0,-1.5,10,1617,2024-08-11,47,National
McCourtney Institute/YouGov,1,-1.1,7,3108,2024-07-27,47,Minnesota
YouGov,0,-1.3,8,2767,2024-08-04,46,Florida
Siena/NYT,1,-1.2,7,1957,2024-09-05,53,National
McCourtney Institute/YouGov,1,-1.5,7,637,2024-10-22,49,National
The Washington Post,1,-1.3,9.5,511,2024-10-16,49,National
The Washington Post,1,-1.2,6.5,1192,2024-07-23,50,National
Siena/NYT,0,-1.4,8.5,611,2024-08-19,50,National
YouGov,1,-1.3,8,4560,2024-10-11,51,New Hampshire
The Washington Post,0,-1.4,7.5,2228,2024-08-26,55,National
The Washington Post,0,-1.5,8,3854,2024-09-28,50,Kansas
The Washington Post,1,-1.4,10,633,2024-09-07,51,National
Siena/NYT,1,-1.3,8.5,3020,2024-09-22,47,National
Marquette Law School,1,-1.1,8,4614,2024-10-04,48,Idaho
CES / YouGov,0,-1.4,7,2557,2024-09-04,52,National
Marquette Law School,1,-1.5,7,1612,2024-10-12,51,Mississippi
YouGov,0,-1.2,7.5,4464,2024-10-03,53,National
YouGov,0,-1.4,9.5,3273,2024-08-05,50,Montana
Siena/NYT,1,-1.2,7,4613,2024-10-17,53,National
CES / YouGov,1,-1.5,7.5,505,2024-10-03,52,National
McCourtney Institute/YouGov,1,-1.5,7,4622,2024-10-11,51,National
Siena/NYT,0,-1.2,9,2994,2024-09-02,52,National
Marquette Law School,1,-1.4,10,1386,2024-08-21,54,National
YouGov,0,-1.2,7.5,3182,2024-10-24,50,National
The Washington Post,0,-1.1,10,2033,2024-08-27,51,Oregon
YouGov,0,-1.2,7.5,2024,2024-09-11,50,Mississippi
McCourtney Institute/YouGov,1,-1.4,10,2016,2024-08-16,52,Colorado
McCourtney Institute/YouGov,0,-1.3,10,4729,2024-07-21,48,Rhode Island
Marquette Law School,0,-1.4,7,1225,2024-08-10,51,Delaware
Marquette Law School,0,-1.4,6.5,3459,2024-07-31,48,National
CES / YouGov,1,-1.3,10,1518,2024-08-20,49,National
YouGov,0,-1.3,8,2328,2024-10-16,47,California
McCourtney Institute/YouGov,0,-1.4,9.5,3445,2024-10-08,51,National
CES / YouGov,0,-1.5,9,3390,2024-09-22,46,Wyoming
CES / YouGov,1,-1.2,7,940,2024-10-24,49,National
McCourtney Institute/YouGov,1,-1.2,9,706,2024-09-23,49,National
CES / YouGov,1,-1.4,9.5,1104,2024-08-05,49,National
CES / YouGov,1,-1.4,9.5,2453,2024-08-07,46,National
The Washington Post,0,-1.1,7,3782,2024-10-17,50,Wisconsin
McCourtney Institute/YouGov,1,-1.3,9,3100,2024-07-25,47,National
Siena/NYT,0,-1.3,7,2647,2024-08-19,48,National
Siena/NYT,0,-1.2,6.5,2991,2024-09-27,50,National
YouGov,0,-1.2,8.5,517,2024-09-09,51,National
McCourtney Institute/YouGov,0,-1.5,7.5,3887,2024-09-28,51,National
McCourtney Institute/YouGov,1,-1.3,6.5,2469,2024-09-16,52,National
CES / YouGov,1,-1.1,7.5,2027,2024-10-21,49,National
YouGov,1,-1.2,8,4432,2024-10-17,47,National
The Washington Post,0,-1.4,7,3763,2024-08-04,54,Wyoming
The Washington Post,1,-1.1,7.5,1881,2024-10-17,49,Hawaii
The Washington Post,1,-1.1,8,892,2024-09-24,48,National
Siena/NYT,1,-1.4,7.5,2303,2024-10-08,50,West Virginia
Siena/NYT,1,-1.1,8.5,3910,2024-10-16,50,National
The Washington Post,0,-1.4,8,2578,2024-10-07,50,Tennessee
Marquette Law School,0,-1.1,7.5,2368,2024-09-25,50,California
YouGov,0,-1.3,6.5,2509,2024-09-07,46,Wyoming
McCourtney Institute/YouGov,1,-1.4,7.5,2473,2024-09-11,49,California
The Washington Post,1,-1.2,7.5,2687,2024-07-21,54,Montana
Marquette Law School,0,-1.4,9,3420,2024-10-17,50,National
Marquette Law School,1,-1.2,7,2313,2024-10-05,52,National
Siena/NYT,1,-1.2,7,1522,2024-08-28,51,Georgia
Marquette Law School,0,-1.5,7,2520,2024-08-06,49,National
Siena/NYT,0,-1.4,9,3306,2024-09-19,50,National
CES / YouGov,1,-1.4,6.5,3954,2024-10-13,47,West Virginia
YouGov,1,-1.3,9,3560,2024-09-25,50,Kentucky
CES / YouGov,1,-1.3,9,1346,2024-10-08,52,New Hampshire
Marquette Law School,0,-1.3,9,3017,2024-07-25,54,Wyoming
Marquette Law School,0,-1.2,9,4279,2024-09-08,50,National
The Washington Post,0,-1.2,6.5,1074,2024-10-24,51,National
Marquette Law School,0,-1.2,10,4471,2024-09-09,47,California
McCourtney Institute/YouGov,1,-1.5,8,3529,2024-09-06,53,National
YouGov,1,-1.3,8.5,3388,2024-09-26,51,National
YouGov,0,-1.3,9,4032,2024-10-03,51,Georgia
Marquette Law School,1,-1.1,8,3793,2024-09-05,50,Oklahoma
YouGov,0,-1.2,9.5,799,2024-07-26,51,Kentucky
CES / YouGov,1,-1.4,8,4703,2024-09-26,46,Connecticut
Siena/NYT,0,-1.4,8.5,1010,2024-08-02,48,National
CES / YouGov,1,-1.2,9.5,4981,2024-10-21,50,National
Siena/NYT,0,-1.2,7.5,2530,2024-09-03,51,National
Siena/NYT,0,-1.4,6.5,664,2024-10-23,51,National
CES / YouGov,1,-1.4,6.5,2481,2024-08-03,50,Ohio
McCourtney Institute/YouGov,0,-1.4,9.5,1061,2024-09-21,51,National
McCourtney Institute/YouGov,1,-1.2,8,1174,2024-10-02,51,Wyoming
CES / YouGov,1,-1.4,8.5,1878,2024-10-10,47,National
Marquette Law School,1,-1.1,9.5,3541,2024-10-19,49,Florida
CES / YouGov,0,-1.4,9,594,2024-09-27,50,National
Siena/NYT,0,-1.1,8.5,3474,2024-08-27,47,Indiana
Siena/NYT,1,-1.5,8.5,671,2024-08-07,54,National
CES / YouGov,0,-1.5,6.5,860,2024-10-03,50,National
The Washington Post,1,-1.4,7,4293,2024-07-29,54,Kentucky
McCourtney Institute/YouGov,1,-1.5,9,3500,2024-08-08,47,Indiana
YouGov,0,-1.2,9.5,2760,2024-09-29,52,National
Siena/NYT,1,-1.4,9,3816,2024-10-03,48,Wisconsin
McCourtney Institute/YouGov,0,-1.2,9.5,4417,2024-10-21,50,National
CES / YouGov,1,-1.4,10,2020,2024-08-27,54,North Dakota
Siena/NYT,1,-1.4,10,2801,2024-09-07,50,Washington
YouGov,1,-1.2,6.5,1327,2024-10-26,52,Kentucky
CES / YouGov,0,-1.2,6.5,2818,2024-08-28,49,National
YouGov,0,-1.2,7.5,1133,2024-08-26,50,National
The Washington Post,0,-1.2,9.5,3990,2024-07-21,51,National
The Washington Post,0,-1.4,9.5,787,2024-08-30,49,National
Siena/NYT,0,-1.2,7.5,2044,2024-10-14,51,Tennessee
Siena/NYT,0,-1.1,9.5,2546,2024-08-26,50,Ohio
CES / YouGov,1,-1.3,7.5,2822,2024-08-29,49,South Dakota
Siena/NYT,0,-1.5,7.5,1364,2024-08-14,50,National
Siena/NYT,0,-1.1,8.5,4436,2024-09-19,48,National
YouGov,0,-1.4,7,1875,2024-10-10,51,Virginia
The Washington Post,0,-1.4,7,3046,2024-09-04,51,National
McCourtney Institute/YouGov,1,-1.3,9.5,4810,2024-08-24,51,Michigan
Siena/NYT,0,-1.2,9.5,631,2024-10-01,49,Hawaii
Siena/NYT,0,-1.3,9,4047,2024-09-24,51,National
McCourtney Institute/YouGov,1,-1.4,8.5,4172,2024-08-16,51,Tennessee
Marquette Law School,1,-1.5,6.5,3942,2024-08-30,51,Ohio
McCourtney Institute/YouGov,1,-1.1,8.5,4564,2024-08-26,49,National
YouGov,1,-1.5,7,1706,2024-09-18,51,Kentucky
McCourtney Institute/YouGov,0,-1.4,9,1401,2024-10-03,48,Kansas
CES / YouGov,0,-1.2,7,4159,2024-08-21,46,Pennsylvania
The Washington Post,0,-1.1,8.5,3656,2024-10-09,50,National
Siena/NYT,1,-1.5,8,3288,2024-07-27,49,National
Marquette Law School,1,-1.4,8,2940,2024-09-25,50,National
Marquette Law School,0,-1.3,6.5,2028,2024-09-04,49,National
The Washington Post,0,-1.3,8.5,2918,2024-08-27,49,Nevada
McCourtney Institute/YouGov,1,-1.2,8.5,1516,2024-09-20,47,Missouri
The Washington Post,1,-1.1,7,4673,2024-09-28,50,Arkansas
McCourtney Institute/YouGov,0,-1.1,7,4610,2024-09-22,49,National
The Washington Post,1,-1.3,6.5,1177,2024-10-02,49,New Jersey
CES / YouGov,0,-1.5,9,1444,2024-08-09,53,Mississippi
CES / YouGov,1,-1.2,6.5,1977,2024-10-19,49,Illinois
The Washington Post,0,-1.3,8.5,4128,2024-09-13,53,Colorado
The Washington Post,0,-1.4,6.5,4548,2024-09-08,49,National
McCourtney Institute/YouGov,0,-1.1,6.5,1460,2024-10-15,49,Oklahoma
The Washington Post,0,-1.3,8,3223,2024-10-06,49,National
The Washington Post,0,-1.4,8,941,2024-08-05,52,National
Marquette Law School,1,-1.4,6.5,2541,2024-09-12,50,National
YouGov,0,-1.1,9.5,3664,2024-09-15,49,Illinois
McCourtney Institute/YouGov,1,-1.3,8.5,2598,2024-10-05,50,National
CES / YouGov,0,-1.2,9,1797,2024-07-21,51,National
Marquette Law School,0,-1.2,10,2751,2024-09-07,46,National
The Washington Post,0,-1.3,10,3879,2024-10-06,54,Idaho
YouGov,1,-1.2,6.5,4976,2024-07-28,51,National
YouGov,0,-1.4,9,4010,2024-08-13,48,National
McCourtney Institute/YouGov,1,-1.3,7,4582,2024-08-03,51,Maryland
The Washington Post,1,-1.4,9,1234,2024-08-29,48,Arkansas
Marquette Law School,0,-1.2,9.5,4710,2024-08-28,51,National
The Washington Post,1,-1.5,7,3180,2024-08-13,52,New York
The Washington Post,0,-1.5,10,732,2024-09-26,49,National
Siena/NYT,1,-1.2,8,2634,2024-08-31,50,National
YouGov,0,-1.5,8.5,1056,2024-08-23,53,National
YouGov,1,-1.3,8,4472,2024-08-12,53,Tennessee
CES / YouGov,0,-1.4,8,4535,2024-08-06,50,New Jersey
YouGov,1,-1.3,8,4531,2024-10-06,51,National
YouGov,1,-1.2,10,955,2024-10-25,50,Virginia
Siena/NYT,1,-1.2,9,3554,2024-10-14,51,New Mexico
YouGov,1,-1.1,9,4774,2024-08-09,50,National
CES / YouGov,1,-1.3,10,2691,2024-10-04,48,Wisconsin
YouGov,0,-1.3,8,3682,2024-07-24,50,National
Siena/NYT,1,-1.4,8.5,4464,2024-10-12,54,North Carolina
CES / YouGov,1,-1.5,6.5,1548,2024-09-24,49,National
The Washington Post,1,-1.4,7,2282,2024-09-21,48,National
McCourtney Institute/YouGov,1,-1.4,9.5,3201,2024-08-20,47,Louisiana
Marquette Law School,0,-1.1,10,1846,2024-08-14,46,Utah
The Washington Post,0,-1.1,9.5,3173,2024-10-14,49,New Jersey
The Washington Post,1,-1.4,9.5,3298,2024-09-29,51,National
McCourtney Institute/YouGov,1,-1.2,10,4199,2024-09-27,48,National
CES / YouGov,0,-1.2,10,3339,2024-09-26,50,National
YouGov,0,-1.3,7.5,513,2024-08-08,53,Minnesota
YouGov,1,-1.5,9.5,1424,2024-08-02,48,National
Siena/NYT,1,-1.3,7,2221,2024-10-04,49,Georgia
The Washington Post,1,-1.1,7.5,4413,2024-09-26,51,National
Marquette Law School,1,-1.4,10,3259,2024-09-05,49,National
Siena/NYT,0,-1.3,9.5,1200,2024-08-25,51,National
CES / YouGov,1,-1.1,10,4932,2024-10-24,51,National
The Washington Post,0,-1.5,9,815,2024-10-13,50,National
Siena/NYT,0,-1.3,8.5,4071,2024-10-22,51,Oregon
Siena/NYT,0,-1.4,6.5,738,2024-10-23,50,Kansas
